fv_e1,fv_e2,fv_e3,fv_e4,fv_e5,fv_e7,fv_e8,fv_e9,fv_e10,fv_e11,fv_e12,fv_e13,fv_e14,fv_e15,fv_e16,fv_e17,class
54.47727431,45.52272569,1.196705019,2.331877693,2.341493889,1.904113657,8.353128823,0.074959482,0.587878788,5.533333333,0.015625,0.227952148,0.716709131,0.157846733,0.0749586,9.956489844,1
53.89511419,46.10488581,1.168967524,2.395883645,2.483463298,2.667229225,12.55370495,0.087214907,0.556213018,8.947368421,0.015625,0.212465502,0.693311195,0.188133052,0.0872129,9.857387927,1
46.170553,53.829447,0.857719252,2.270630795,2.735719533,1.570415502,4.705788674,0.078520935,0.563829787,7.875,0.015625,0.333719937,0.622025611,0.122704204,0.078520488,9.776975434,1
36.58795056,63.41204944,0.576987353,1.863176239,2.387687694,0.953935332,2.472628691,0.064308752,0.559782609,5.441176471,0.015625,0.385798052,0.643815772,0.087750256,0.064297636,9.773805317,1
45.4649507,54.5350493,0.833683132,1.917460659,2.953461781,1.067612798,1.608244276,0.060374827,0.52688172,4.794871795,0.015625,0.663837462,0.64247633,0.078988465,0.060373295,9.740101944,1
48.02587283,51.97412717,0.924034235,1.634048541,3.020711381,0.620776478,0.907408748,0.059874656,0.61827957,4.794871795,0.015625,0.684120006,0.641950933,0.062632158,0.059873111,9.742098375,1
35.56497341,64.43502659,0.551950939,0.977425716,2.422919587,0.208543447,0.436682532,0.058969821,0.648351648,3.588235294,0.015625,0.477563062,0.653728089,0.04637116,0.058969719,9.802268852,1
35.86889418,64.13110582,0.559305718,1.407034432,2.484257605,0.446862869,0.92935127,0.057728743,0.536312849,3.529411765,0.015625,0.480833118,0.667328372,0.058591882,0.057727769,9.851813662,1
43.80234082,56.19765918,0.779433547,1.644268255,3.163209758,0.953617596,1.527587689,0.057646553,0.427027027,3.795918367,0.015625,0.624263735,0.642781605,0.074348398,0.057644931,9.790368668,1
42.64571547,57.35428453,0.743548905,1.382021419,3.110820587,0.859986562,1.165105621,0.056821837,0.446808511,2.661971831,0.015625,0.738118971,0.627850679,0.06934173,0.056820244,9.746560679,1
36.66942533,63.33057467,0.579016147,1.436803805,2.444235531,0.413039016,0.802563208,0.059515784,0.631016043,3.298245614,0.015625,0.514649826,0.635779717,0.057429555,0.059515784,9.838811928,1
53.18982334,46.81017666,1.136287601,2.230098274,2.870205951,3.39875322,7.97411112,0.073082865,0.47752809,7.782608696,0.015625,0.426223459,0.654050172,0.154230742,0.073060611,9.812560725,1
53.46686669,46.53313331,1.149006372,2.107978674,2.566827799,3.248410042,12.20520653,0.079673544,0.479532164,9.052631579,0.015625,0.266149535,0.683738049,0.180599067,0.079672075,9.778118865,1
55.1505643,44.8494357,1.229682457,1.839776432,3.449801695,6.00943227,6.584605925,0.099511484,0.632911392,7.571428571,0.015625,0.912648735,0.74578125,0.164475982,0.099511484,9.837387675,1
51.89954212,48.10045788,1.078982289,2.081126709,3.268881859,3.073348006,6.015260178,0.082283501,0.532967033,7.625,0.015625,0.5109252,0.639181858,0.142087736,0.082266989,9.910843774,1
59.29921894,40.70078106,1.456955306,2.145150939,2.698685054,3.126123519,9.230473816,0.070857805,0.497175141,8.9,0.015625,0.33867422,0.660101476,0.1638699,0.070854561,9.915526829,1
58.30103598,41.69896402,1.398141114,2.136595737,3.057252322,4.456714988,8.818286882,0.078901179,0.548780488,11,0.015625,0.505394647,0.697435766,0.166354674,0.078895147,9.899985771,1
40.69766332,59.30233668,0.686274194,2.416887374,2.188459043,1.435854693,4.873222707,0.069719296,0.505617978,7.782608696,0.015625,0.294641714,0.638091977,0.115393452,0.069712747,9.884883824,1
52.64331188,47.35668812,1.111634153,1.667298915,3.375176998,5.94679314,8.554242419,0.132501616,0.714285714,10.6,0.015625,0.695186417,1.134505205,0.170579615,0.132487925,9.704415413,2
50.0068485,49.9931515,1.000273978,2.082668998,2.799050487,4.272739972,10.84416081,0.117914025,0.720720721,9.333333333,0.015625,0.394012967,1.088267909,0.177485534,0.117834704,9.70893967,2
